,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10,Layer11_bottom10,Layer12_bottom10
0,"('22chess', 0.9994718178634568)","('38groceryshopping', 0.8143847565926166)","('38groceryshopping', 0.8296409865431692)","('38groceryshopping', 0.8300672942125795)","('38groceryshopping', 0.8300672942125795)","('38groceryshopping', 0.8756077772528825)","('38groceryshopping', 0.8176688490091581)","('01art', 0.6673422210250818)","('01art', 0.49190162703100876)","('62sushi', 0.6428448493465718)","('62sushi', 0.8457998204442365)","('62sushi', 0.7522477415536704)"
1,"('06basketball', 0.9998745821547136)","('69tub', 0.8168935148307481)","('64tennis', 0.8685632685900587)","('69tub', 0.8547904083328078)","('69tub', 0.8547904083328078)","('69tub', 0.8930669524228821)","('05baseball', 0.8672069919524564)","('38groceryshopping', 0.8522029913169619)","('05baseball', 0.6832789402282864)","('67toy', 0.7785572532608495)","('29cooking', 0.8949347043423902)","('05baseball', 0.7916926963172748)"
2,"('02baby', 1.0000054538854783)","('01art', 0.8779001984822844)","('69tub', 0.8700060645200521)","('64tennis', 0.8634549015386512)","('64tennis', 0.8634549015386512)","('64tennis', 0.9051345069457273)","('01art', 0.9082013563845444)","('22chess', 0.8591015556982473)","('12birdcage', 0.7058095164039432)","('12birdcage', 0.8074426197275529)","('05baseball', 0.9067542784448751)","('29cooking', 0.8127185108228974)"
3,"('46kitchen2', 1.0000055379211592)","('23childEating', 0.90709000852516)","('23childEating', 0.9195554088549908)","('23childEating', 0.9201024255133576)","('23childEating', 0.9201024255133576)","('01art', 0.9179017765539954)","('63teethhygene', 0.9213248448066085)","('62sushi', 0.8884105771511625)","('62sushi', 0.7198510057969315)","('29cooking', 0.8195845969869539)","('67toy', 0.9387897347984653)","('47laundry', 0.8977814014759433)"
4,"('45kitchen', 1.0000055379211592)","('64tennis', 0.9080443155780309)","('21cheese', 0.9256506563823834)","('01art', 0.9295814160118046)","('01art', 0.9295814160118046)","('21cheese', 0.922896948161134)","('59pizza', 0.9233619256913494)","('05baseball', 0.8998285481957884)","('33fishtank', 0.73412530002439)","('37golf', 0.8729831777879801)","('12birdcage', 0.9418897613119409)","('44kayak', 0.8988486753016282)"
5,"('10bed-dresser', 1.0000089655355493)","('21cheese', 0.9162407790646917)","('01art', 0.9330264942167039)","('21cheese', 0.9297795810245024)","('21cheese', 0.9297795810245024)","('59pizza', 0.9309158926118932)","('67toy', 0.9295308457728716)","('19carpet', 0.902580221392576)","('19carpet', 0.798223052274757)","('49livingroom-chair', 0.8755335188367317)","('33fishtank', 0.9491261125391522)","('34football', 0.9075746985495474)"
6,"('69tub', 1.000009099550753)","('44kayak', 0.93700706730076)","('73winter', 0.9368253155869065)","('73winter', 0.9356135716088039)","('73winter', 0.9356135716088039)","('24cleaning', 0.9549131905006452)","('12birdcage', 0.9401953960664365)","('67toy', 0.9126843346317512)","('47laundry', 0.8202238591402232)","('26coathanging', 0.8770852967396023)","('47laundry', 0.9540479989263029)","('12birdcage', 0.9232701194607862)"
7,"('65toilet', 1.000009099550753)","('59pizza', 0.9487140260887608)","('59pizza', 0.9518282836925142)","('05baseball', 0.9523259775434156)","('05baseball', 0.9523259775434156)","('23childEating', 0.9560727954836794)","('73winter', 0.9512812008601033)","('59pizza', 0.9268056191873512)","('59pizza', 0.8440224633440458)","('47laundry', 0.8775694321907687)","('34football', 0.9582512977724409)","('33fishtank', 0.9239088243733355)"
8,"('63teethhygene', 1.000009099550753)","('73winter', 0.9532399508729786)","('33fishtank', 0.9595410390872872)","('59pizza', 0.9528970041132845)","('59pizza', 0.9528970041132845)","('19carpet', 0.9699543687974745)","('64tennis', 0.9528822194040668)","('21cheese', 0.9397838786861392)","('13birds', 0.8502960836908922)","('44kayak', 0.8816692640622052)","('49livingroom-chair', 0.9857135778860571)","('67toy', 0.9409332320127978)"
9,"('73winter', 1.0000094514728177)","('05baseball', 0.9611441195593263)","('24cleaning', 0.9618081482087099)","('24cleaning', 0.955618609225775)","('24cleaning', 0.955618609225775)","('02baby', 0.9763318389644623)","('69tub', 0.9536357541370306)","('28construction', 0.9433741337721335)","('11biking', 0.8746049820568074)","('68toys', 0.8844916834253612)","('44kayak', 0.9890986781331293)","('19carpet', 0.9460478423017852)"
