,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10,Layer11_top10,Layer12_top10,Layer13_top10,Layer14_top10,Layer15_top10,Layer16_top10,Layer17_top10,Layer18_top10,Layer19_top10
0,"('basketballrim ', 1.000009743789258)","('lamp ', 1.1798250978880136)","('lamp ', 1.1798250978880136)","('bike ', 1.306062978124351)","('carpet ', 1.5346305012984933)","('carpet ', 1.5346305012984933)","('rubberduck ', 1.3406374179920675)","('carpet ', 1.6045710169804681)","('carpet ', 1.6045710169804681)","('coatrack ', 1.7023085752756355)","('coatrack ', 1.368768888063646)","('coatrack ', 1.2849451857573024)","('carpet ', 1.4174927636578372)","('coatrack ', 1.4135290113865095)","('coatrack ', 1.4135290113865095)","('coatrack ', 1.3664792050917653)","('rolette ', 1.9438730022110438)","('rolette ', 1.0480549670528936)","('stove ', 2.668685875090139)"
1,"('highchair ', 1.0000096725620395)","('tennisball ', 1.1724898483473332)","('tennisball ', 1.1724898483473332)","('rubberduck ', 1.214989522103063)","('lamp ', 1.495222440591813)","('lamp ', 1.495222440591813)","('carpet ', 1.308906589819746)","('lamp ', 1.4819905349447677)","('lamp ', 1.4819905349447677)","('carpet ', 1.679417931898389)","('lamp ', 1.326375806265878)","('lamp ', 1.2252354541540824)","('coatrack ', 1.3290899659977375)","('rolette ', 1.3691501908696708)","('rolette ', 1.3691501908696708)","('rolette ', 1.2633018636502784)","('doll ', 1.8051956690245237)","('ambulance ', 1.0471441415406133)","('beachpail ', 2.3614298211109923)"
2,"('bike ', 1.0000095331866181)","('carpet ', 1.1590118506265086)","('carpet ', 1.1590118506265086)","('pancake ', 1.170064752278325)","('bike ', 1.4607566581669735)","('bike ', 1.4607566581669735)","('coatrack ', 1.2646923782671404)","('coatrack ', 1.4737424795844756)","('coatrack ', 1.4737424795844756)","('bike ', 1.6630141626191401)","('bike ', 1.2916487463667168)","('carpet ', 1.2197704095746167)","('rolette ', 1.2889376621025177)","('carpet ', 1.3552885705239228)","('carpet ', 1.3552885705239228)","('pizza ', 1.24350461070345)","('coatrack ', 1.7324117092997695)","('toothpaste ', 1.0426112396224798)","('paper ', 2.127391986375033)"
3,"('footballball ', 1.0000095331866181)","('rolette ', 1.1569850011235456)","('rolette ', 1.1569850011235456)","('lamp ', 1.1646468603466842)","('coatrack ', 1.432580361122973)","('coatrack ', 1.432580361122973)","('lamp ', 1.2452811653365659)","('toothbrush ', 1.4002144471931723)","('toothbrush ', 1.4002144471931723)","('lamp ', 1.6182049831059717)","('hammer ', 1.275195536178243)","('motorhelmet ', 1.2166388832428576)","('hammer ', 1.2515699879998046)","('ambulance ', 1.2927713821564988)","('ambulance ', 1.2927713821564988)","('bowlingball ', 1.2343175960067838)","('key ', 1.7307488503889947)","('bike ', 1.0420185626725824)","('lego ', 1.9625847302978146)"
4,"('stroller ', 1.0000095331866181)","('rubberduck ', 1.147130579343437)","('rubberduck ', 1.147130579343437)","('carpet ', 1.1636527726651735)","('rubberduck ', 1.4321508636112492)","('rubberduck ', 1.4321508636112492)","('bike ', 1.228826225203045)","('pizza ', 1.3843692801915912)","('pizza ', 1.3843692801915912)","('bowlingball ', 1.5950835540822517)","('motorhelmet ', 1.2737763967955114)","('hammer ', 1.214167091033156)","('motorhelmet ', 1.2401648084419745)","('lamp ', 1.288830643677496)","('lamp ', 1.288830643677496)","('ambulance ', 1.2190447388151708)","('hammer ', 1.6860769789637866)","('bathrobe ', 1.0404518743088775)","('cheese ', 1.889031154577314)"
5,"('motorcycle ', 1.0000095331866181)","('pants ', 1.1360127707246872)","('pants ', 1.1360127707246872)","('pants ', 1.146227213315107)","('pizza ', 1.3871988200884688)","('pizza ', 1.3871988200884688)","('scissors ', 1.2220395553266044)","('bike ', 1.3792749803273157)","('bike ', 1.3792749803273157)","('rolette ', 1.559295535285166)","('rolette ', 1.272948542003426)","('bike ', 1.1920296060426485)","('doll ', 1.2366801067011723)","('bike ', 1.2875463039500998)","('bike ', 1.2875463039500998)","('handgun1 (2).JPG', 1.2151251438446284)","('pizza ', 1.6450804508229648)","('slippers ', 1.0377110818141098)","('carpet ', 1.7727164354493319)"
6,"('tent ', 1.0000095331866181)","('paper ', 1.132425664951812)","('paper ', 1.132425664951812)","('beachpail ', 1.1401717759166496)","('chess ', 1.3264583872666647)","('chess ', 1.3264583872666647)","('sofa ', 1.2099255908496962)","('rubberduck ', 1.3662394014446069)","('rubberduck ', 1.3662394014446069)","('pizza ', 1.5435141017382499)","('carpet ', 1.2701963371003044)","('rolette ', 1.1906981528743763)","('toothpaste ', 1.235631994572745)","('toothpaste ', 1.2728405586207514)","('toothpaste ', 1.2728405586207514)","('lamp ', 1.1968103210716152)","('motorhelmet ', 1.6283302282408036)","('carpet ', 1.0353211821586643)","('coffeetable ', 1.7480199322677854)"
7,"('dresser ', 1.0000095331866181)","('easel ', 1.132408117975177)","('easel ', 1.132408117975177)","('lipstick ', 1.138089376945901)","('pants ', 1.2997853431943729)","('pants ', 1.2997853431943729)","('pizza ', 1.1980994944056715)","('remotecontrol ', 1.3131354776381297)","('remotecontrol ', 1.3131354776381297)","('lipstick ', 1.5354624558573315)","('remotecontrol ', 1.2486242059667394)","('lipstick ', 1.1882866982137157)","('umbrella ', 1.234233851600334)","('umbrella ', 1.2682231404675965)","('umbrella ', 1.2682231404675965)","('toothpaste ', 1.1940157250979744)","('racket ', 1.5102704284396768)","('hairdryer ', 1.0343099094794503)","('remotecontrol ', 1.7223828214961927)"
8,"('coatrack ', 1.0000094649943658)","('lipstick ', 1.1297116808539975)","('lipstick ', 1.1297116808539975)","('racket ', 1.1336720422078264)","('easel ', 1.2967438198875565)","('easel ', 1.2967438198875565)","('pants ', 1.1974440541107678)","('hammer ', 1.3096010296092067)","('hammer ', 1.3096010296092067)","('remotecontrol ', 1.519980386186189)","('toothpaste ', 1.2407783182824188)","('bowlingball ', 1.1863318778370744)","('bowlingball ', 1.230792463408589)","('remotecontrol ', 1.2673792856427342)","('remotecontrol ', 1.2673792856427342)","('doll ', 1.192231088954319)","('lamp ', 1.4943852315974697)","('racket ', 1.0341584698314357)","('computer ', 1.7193950610259212)"
9,"('helmet ', 1.0000094649943658)","('roadsign ', 1.1279773680015819)","('roadsign ', 1.1279773680015819)","('helm2.jpg', 1.1271461261839102)","('beachpail ', 1.2832326558366225)","('beachpail ', 1.2832326558366225)","('easel ', 1.193352497326685)","('rolette ', 1.302973977161754)","('rolette ', 1.302973977161754)","('hammer ', 1.504278087198772)","('pizza ', 1.2395695021453867)","('toothbrush ', 1.1810599544892872)","('lamp ', 1.2287077817503478)","('handgun1 (2).JPG', 1.2672221063594435)","('handgun1 (2).JPG', 1.2672221063594435)","('toothbrush ', 1.191733596874021)","('scissors ', 1.4814926956158474)","('sleepingbag ', 1.034086919830347)","('kayak ', 1.708194147319245)"
