,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10,Layer11_bottom10,Layer12_bottom10,Layer13_bottom10,Layer14_bottom10,Layer15_bottom10,Layer16_bottom10,Layer17_bottom10,Layer18_bottom10,Layer19_bottom10
0,"('chesspiece (2).jpg', 0.9994479582366893)","('rearview_mirror (2).jpg', 0.9666786563187224)","('rearview_mirror (2).jpg', 0.9666786563187224)","('chopsticks (2).jpg', 0.9791149752652316)","('nail (2).jpg', 1.0163460915669054)","('nail (2).jpg', 1.0163460915669054)","('rainboots (2).jpg', 0.988347908441583)","('chair (2).jpg', 1.0177994481160064)","('chair (2).jpg', 1.0177994481160064)","('boxing_gloves (2).jpg', 1.0188016784342988)","('chair (2).jpg', 1.009145232571112)","('sippycup (2).jpg', 0.9871985251692283)","('chair (2).jpg', 0.9596362405024392)","('excersiceequipment (2).jpg', 0.9864471227157161)","('excersiceequipment (2).jpg', 0.9864471227157161)","('excersiceequipment (2).jpg', 0.9410792539021732)","('dresser (2).jpg', 0.7201461197973217)","('television (2).jpg', 0.9797981336444506)","('toothbrush (2).jpg', -0.1448832735029204)"
1,"('basketball (2).jpg', 0.9997396363836301)","('highchair (2).jpg', 0.966761337873059)","('highchair (2).jpg', 0.966761337873059)","('helmet (2).jpg', 0.9885183319036194)","('ovenmitt (2).jpg', 1.018494762484063)","('ovenmitt (2).jpg', 1.018494762484063)","('washer (2).jpg', 1.007024850945547)","('rainboots (2).jpg', 1.024837419622001)","('rainboots (2).jpg', 1.024837419622001)","('sippycup (2).jpg', 1.0431821576556375)","('boxing_gloves (2).jpg', 1.0116678274798838)","('chair (2).jpg', 0.9928516589853783)","('basketballrim (2).jpg', 1.0078499011959772)","('chair (2).jpg', 0.9888737121276844)","('chair (2).jpg', 0.9888737121276844)","('garbagebag (2).jpg', 0.9613039753244128)","('cheesegrater (2).jpg', 0.8144531107914418)","('fishbowl (2).jpg', 0.9920229752834441)","('balloon (2).jpg', -0.12243908485603944)"
2,"('bowlingpin (2).jpg', 1.0000081872830517)","('helmet (2).jpg', 0.9731965112401368)","('helmet (2).jpg', 0.9731965112401368)","('bat (2).jpg', 0.9979588430397756)","('balloon (2).jpg', 1.0215838568540525)","('balloon (2).jpg', 1.0215838568540525)","('balloon (2).jpg', 1.0106447126614135)","('balloon (2).jpg', 1.0339542281006622)","('balloon (2).jpg', 1.0339542281006622)","('footballball (2).jpg', 1.0440374313373302)","('basketballrim (2).jpg', 1.0133430436308568)","('rainboots (2).jpg', 0.9983172561598433)","('excersiceequipment (2).jpg', 1.0173607097380688)","('golfclubs (2).jpg', 1.014624941064225)","('golfclubs (2).jpg', 1.014624941064225)","('toiletseat (2).jpg', 0.9914025996315659)","('basketballrim (2).jpg', 0.8260510079053114)","('fridge (2).jpg', 0.9924762665256814)","('pancake (2).jpg', 0.09875784335144401)"
3,"('tennisball (2).jpg', 1.0000081872830517)","('garbagebag (2).jpg', 0.9796854874600017)","('garbagebag (2).jpg', 0.9796854874600017)","('umbrella (2).jpg', 1.0015585762211516)","('washer (2).jpg', 1.0239398516163352)","('washer (2).jpg', 1.0239398516163352)","('chair (2).jpg', 1.021381657897736)","('ovenmitt (2).jpg', 1.052234151335214)","('ovenmitt (2).jpg', 1.052234151335214)","('pokerchips (2).jpg', 1.0490501160524794)","('sippycup (2).jpg', 1.0213471847286468)","('birdcage (2).jpg', 1.0172752030171135)","('rainboots (2).jpg', 1.0181698333778104)","('birdcage (2).jpg', 1.0210565441877304)","('birdcage (2).jpg', 1.0210565441877304)","('bullet (2).jpg', 0.9931539002235379)","('chopsticks (2).jpg', 0.8607198381035989)","('cheesegrater (2).jpg', 0.9929787670872402)","('bowlingpin (2).jpg', 0.22331687693473135)"
4,"('helmet (2).jpg', 1.0000081872830517)","('chopsticks (2).jpg', 0.9803353728018099)","('chopsticks (2).jpg', 0.9803353728018099)","('dishrack (2).jpg', 1.0051873790535608)","('dustpan (2).jpg', 1.03154055530442)","('dustpan (2).jpg', 1.03154055530442)","('ovenmitt (2).jpg', 1.0288925870686423)","('sippycup (2).jpg', 1.0551777780065037)","('sippycup (2).jpg', 1.0551777780065037)","('cake (2).jpg', 1.0578576634190013)","('rainboots (2).jpg', 1.0354300777600154)","('basketballrim (2).jpg', 1.0191486640514935)","('birdcage (2).jpg', 1.0258707755043646)","('laundry (2).jpg', 1.0303423156973182)","('laundry (2).jpg', 1.0303423156973182)","('birdcage (2).jpg', 0.9999618442147902)","('coffeemaker (2).jpg', 0.8888071649446392)","('beachball (2).jpg', 0.9939134435953603)","('fishbowl (2).jpg', 0.25201003841247077)"
5,"('beachpail (2).jpg', 1.0000081872830517)","('cart (2).jpg', 0.9850658743796498)","('cart (2).jpg', 0.9850658743796498)","('dresser (2).jpg', 1.0059824177500005)","('stove (2).jpg', 1.0362427399158463)","('stove (2).jpg', 1.0362427399158463)","('desk (2).jpg', 1.035483789356756)","('cheesegrater (2).jpg', 1.0685118910348124)","('cheesegrater (2).jpg', 1.0685118910348124)","('rainboots (2).jpg', 1.060834519709315)","('footballball (2).jpg', 1.0411900539841452)","('excersiceequipment (2).jpg', 1.0288048585598575)","('anchor2.jpg', 1.02716636550597)","('pot (2).jpg', 1.0438090008332326)","('pot (2).jpg', 1.0438090008332326)","('dustpan (2).jpg', 1.0012593833161572)","('anchor2.jpg', 0.9045609176719829)","('chair (2).jpg', 0.9957308346617352)","('pot (2).jpg', 0.2527527215321562)"
6,"('bat (2).jpg', 1.0000081872830517)","('bat (2).jpg', 0.9873211467719551)","('bat (2).jpg', 0.9873211467719551)","('dustpan (2).jpg', 1.0061353350780278)","('rearview_mirror (2).jpg', 1.0469150147806752)","('rearview_mirror (2).jpg', 1.0469150147806752)","('nail (2).jpg', 1.0410823529050515)","('trophy (2).jpg', 1.0700832621775571)","('trophy (2).jpg', 1.0700832621775571)","('laundry (2).jpg', 1.0673046680012328)","('printer (2).jpg', 1.0437617238539731)","('dresser (2).jpg', 1.0305894586514937)","('printer (2).jpg', 1.031080461842101)","('rainboots (2).jpg', 1.045366330203543)","('rainboots (2).jpg', 1.045366330203543)","('dresser (2).jpg', 1.0012868392935461)","('lock (2).jpg', 0.906855080595363)","('makeup (2).jpg', 0.9961047713521984)","('bag (2).jpg', 0.25291201631421134)"
7,"('deskchair (2).jpg', 1.0000085154874656)","('punchingbag (2).jpg', 0.9917723682385277)","('punchingbag (2).jpg', 0.9917723682385277)","('stove (2).jpg', 1.0073476638421093)","('umbrella (2).jpg', 1.0520415994959735)","('umbrella (2).jpg', 1.0520415994959735)","('dustpan (2).jpg', 1.0434272808851102)","('boxing_gloves (2).jpg', 1.073119219743295)","('boxing_gloves (2).jpg', 1.073119219743295)","('pot (2).jpg', 1.0721085535946542)","('cheesegrater (2).jpg', 1.0462637142369207)","('chair (2).jpg', 1.030633358601491)","('chair (2).jpg', 1.0324859454774498)","('garbagebag (2).jpg', 1.0483923536422033)","('garbagebag (2).jpg', 1.0483923536422033)","('nail (2).jpg', 1.0021962483624514)","('chair (2).jpg', 0.9200608460419966)","('lego (2).jpg', 0.9961424393426545)","('dishrack (2).jpg', 0.27014389710001235)"
8,"('lamp (2).jpg', 1.0000085154874656)","('wheelbarrow (2).jpg', 0.9974272985901254)","('wheelbarrow (2).jpg', 0.9974272985901254)","('bowlingpin (2).jpg', 1.0122576874535432)","('garbagebag (2).jpg', 1.0524492487698054)","('garbagebag (2).jpg', 1.0524492487698054)","('printer (2).jpg', 1.043942317458793)","('seashell (2).jpg', 1.074281749418196)","('seashell (2).jpg', 1.074281749418196)","('sushi (2).jpg', 1.07330620274715)","('seashell (2).jpg', 1.0475880893194485)","('garbagebag (2).jpg', 1.0334433518450894)","('garbagebag (2).jpg', 1.0337553753687854)","('sippycup (2).jpg', 1.0529518829037574)","('sippycup (2).jpg', 1.0529518829037574)","('golfclubs (2).jpg', 1.0041264627033615)","('bed (2).jpg', 0.9359756663228995)","('lock (2).jpg', 0.9967510963415642)","('golfclubs (2).jpg', 0.27503143058721424)"
9,"('chair (2).jpg', 1.0000085777357148)","('board (2).jpg', 0.9991685839097171)","('board (2).jpg', 0.9991685839097171)","('desk (2).jpg', 1.0139576546594509)","('printer (2).jpg', 1.0538865632719008)","('printer (2).jpg', 1.0538865632719008)","('coat (2).jpg', 1.0454183443306224)","('footballball (2).jpg', 1.0762108537708486)","('footballball (2).jpg', 1.0762108537708486)","('chair (2).jpg', 1.0790609751217695)","('birdcage (2).jpg', 1.051165671476269)","('ironing (2).jpg', 1.0402188962699768)","('parrot (2).jpg', 1.038381561997375)","('basketballrim (2).jpg', 1.054876446765708)","('basketballrim (2).jpg', 1.054876446765708)","('basketballrim (2).jpg', 1.0062463941762063)","('birdcage (2).jpg', 0.9406287361573835)","('pokerchips (2).jpg', 0.9981476303218092)","('lock (2).jpg', 0.3123452113984358)"
