,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10,Layer11_bottom10,Layer12_bottom10,Layer13_bottom10,Layer14_bottom10,Layer15_bottom10,Layer16_bottom10,Layer17_bottom10,Layer18_bottom10,Layer19_bottom10,Layer20_bottom10,Layer21_bottom10,Layer22_bottom10,Layer23_bottom10,Layer24_bottom10,Layer25_bottom10,Layer26_bottom10,Layer27_bottom10,Layer28_bottom10,Layer29_bottom10,Layer30_bottom10,Layer31_bottom10
0,"('chesspiece ', 0.9994479582366893)","('lego ', 0.9697908048208175)","('lego ', 0.9723090880409311)","('lego ', 0.9106838259273335)","('lego ', 0.9106898693359268)","('lego ', 0.9106898693359268)","('dumbbell ', 0.9213691160751264)","('dumbbell ', 0.9213727560980269)","('bat ', 0.7548604925938108)","('bat ', 0.7548604925938108)","('bat ', 0.7548604925938108)","('toothbrush ', 0.9079808708741436)","('toothbrush ', 0.9079519233006487)","('toothbrush ', 0.932548833129352)","('toothbrush ', 0.9325647697019241)","('toothbrush ', 0.883911951686589)","('toothbrush ', 0.8836399735320247)","('toothbrush ', 0.8836399735320247)","('cake ', 1.052243513499704)","('cake ', 1.0523514065219055)","('nail ', 1.0725450917352128)","('nail ', 1.0700680075769742)","('laundry ', 1.2283488587262883)","('laundry ', 1.2361790463075182)","('laundry ', 1.2361790463075182)","('laundry ', 1.3212769557094435)","('laundry ', 1.3265005610362355)","('basketballrim ', 1.4739822765527693)","('basketballrim ', 1.4797922394486942)","('laundry ', 1.662090948379035)","('laundry ', 1.8029674439846737)"
1,"('basketball ', 0.9997396363836301)","('balloon ', 0.9845406470832817)","('balloon ', 0.9845625220920825)","('cake ', 0.9291874693357823)","('cake ', 0.9291974837399885)","('cake ', 0.9291974837399885)","('dustpan ', 0.9238203436724045)","('dustpan ', 0.923822912408338)","('toothbrush ', 0.7697395173990677)","('toothbrush ', 0.7697395173990677)","('toothbrush ', 0.7697395173990677)","('bat ', 0.9126963796979392)","('bat ', 0.9120116314944205)","('fishbowl ', 0.9898439429170239)","('fishbowl ', 0.9898514202039396)","('rainboots ', 1.0163661835613356)","('rainboots ', 1.0163747428641674)","('rainboots ', 1.0163747428641674)","('nail ', 1.059269567940364)","('nail ', 1.0568227261339163)","('laundry ', 1.1116006775130383)","('laundry ', 1.1141092527663916)","('ovenmitt ', 1.323182025364206)","('nail ', 1.326632690710225)","('nail ', 1.326632690710225)","('basketballrim ', 1.3382068912395477)","('basketballrim ', 1.342645775490552)","('laundry ', 1.5551162946790718)","('laundry ', 1.585751777492207)","('basketballrim ', 1.780556057719413)","('basketballrim ', 1.8699168598851876)"
2,"('bowlingpin ', 1.0000081872830517)","('rainboots ', 0.9851699708453823)","('rainboots ', 0.9848839269069868)","('toothbrush ', 0.9329680931065477)","('toothbrush ', 0.9329725421314518)","('toothbrush ', 0.9329725421314518)","('toothbrush ', 0.9328079655755928)","('toothbrush ', 0.9328116578853475)","('broom ', 0.9560291708090899)","('broom ', 0.9560291708090899)","('broom ', 0.9560291708090899)","('broom ', 1.0083229019746478)","('broom ', 1.0082666177248667)","('dustpan ', 1.0185443811227406)","('dustpan ', 1.0185347237976488)","('laundry ', 1.0605903537915544)","('laundry ', 1.060591525253226)","('laundry ', 1.060591525253226)","('fishbowl ', 1.0762727819770483)","('fishbowl ', 1.0764027736562118)","('fishbowl ', 1.1881348386824795)","('fishbowl ', 1.1930228056634704)","('nail ', 1.3286331566086536)","('ovenmitt ', 1.3282335877602407)","('ovenmitt ', 1.3282335877602407)","('ovenmitt ', 1.3898365190935225)","('ovenmitt ', 1.3978786994212067)","('chair ', 1.5745139630031206)","('chair ', 1.6060067323271143)","('dustpan ', 1.8725223823587112)","('dustpan ', 1.9503162459425452)"
3,"('tennisball ', 1.0000081872830517)","('cake ', 0.9878987794623956)","('cake ', 0.9876859946252007)","('dumbbell ', 0.9540266724570298)","('dumbbell ', 0.9540261911679826)","('dumbbell ', 0.9540261911679826)","('bat ', 0.9449435649326736)","('bat ', 0.9449438641108663)","('balloon ', 0.9806516446636679)","('balloon ', 0.9806516446636679)","('balloon ', 0.9806516446636679)","('nail ', 1.0120151145266363)","('nail ', 1.0104146496518407)","('sushi ', 1.0218808855028676)","('sushi ', 1.021880350562768)","('balloon ', 1.066770686877725)","('balloon ', 1.066727434179749)","('balloon ', 1.066727434179749)","('laundry ', 1.0885981548958987)","('toothbrush ', 1.0860321631467762)","('kayak ', 1.2264066107649467)","('kayak ', 1.2267655082360975)","('chair ', 1.379423205292383)","('dustpan ', 1.3772836628508267)","('dustpan ', 1.3772836628508267)","('nail ', 1.409102815615516)","('nail ', 1.4145501084841166)","('dumbbell ', 1.6289658166635494)","('dumbbell ', 1.6631050670796192)","('chair ', 2.0191197013562476)","('chair ', 2.206600923372415)"
4,"('helmet ', 1.0000081872830517)","('dustpan ', 0.9885657381972747)","('toothbrush ', 0.9891335887862002)","('broom ', 0.9561608555577609)","('broom ', 0.9561681843277614)","('broom ', 0.9561681843277614)","('fish ', 0.9695803794614319)","('fish ', 0.9695760984075819)","('chopsticks ', 0.9910427599172917)","('chopsticks ', 0.9910427599172917)","('chopsticks ', 0.9910427599172917)","('rainboots ', 1.0151703322418997)","('rainboots ', 1.0150744820497188)","('bat ', 1.0259279581337584)","('bat ', 1.0261829827548812)","('dustpan ', 1.0698693606304706)","('dustpan ', 1.0699239616873886)","('dustpan ', 1.0699239616873886)","('toothbrush ', 1.0895226353641343)","('laundry ', 1.0888479800432111)","('rainboots ', 1.2425433750073955)","('rainboots ', 1.2448504864599368)","('dustpan ', 1.3798064011597087)","('chair ', 1.3870990465781294)","('chair ', 1.3870990465781294)","('ironing ', 1.4488464948675692)","('ironing ', 1.4510111857235655)","('nail ', 1.7514292694749605)","('ironing ', 1.7829752412443187)","('dumbbell ', 2.0622775299419933)","('dumbbell ', 2.218812039266104)"
5,"('beachpail ', 1.0000081872830517)","('toothbrush ', 0.9889929665908963)","('dustpan ', 0.990375470185709)","('sushi ', 0.9616474074058915)","('sushi ', 0.9616532302022408)","('sushi ', 0.9616532302022408)","('cake ', 0.9739323581116273)","('cake ', 0.9739314965274908)","('dustpan ', 1.0085288198952962)","('dustpan ', 1.0085288198952962)","('dustpan ', 1.0085288198952962)","('balloon ', 1.0182402952081302)","('balloon ', 1.018165608887909)","('balloon ', 1.0291009667005724)","('balloon ', 1.0291050636412136)","('fishbowl ', 1.0807847067703333)","('fishbowl ', 1.0809032707236075)","('fishbowl ', 1.0809032707236075)","('balloon ', 1.1362317327842422)","('balloon ', 1.1365885858020077)","('medal ', 1.2605583118413626)","('medal ', 1.2619003336343657)","('basketballrim ', 1.3943386387362366)","('basketballrim ', 1.4021226137804175)","('basketballrim ', 1.4021226137804175)","('chair ', 1.45598218878484)","('chair ', 1.4623742037808722)","('ironing ', 1.7560988411000373)","('can ', 1.7908751726909813)","('backyard_grill ', 2.14926585704583)","('backyard_grill ', 2.299827247560705)"
6,"('bat ', 1.0000081872830517)","('stroller ', 0.9912660675124307)","('stroller ', 0.9912805962764841)","('dustpan ', 0.9667177736703232)","('dustpan ', 0.9667222201048535)","('dustpan ', 0.9667222201048535)","('stroller ', 0.9752493010047278)","('stroller ', 0.9752521042804309)","('fish ', 1.0115344356969613)","('fish ', 1.0115344356969613)","('fish ', 1.0115344356969613)","('washer ', 1.0219116908662933)","('washer ', 1.021904874626838)","('rainboots ', 1.0390741034602429)","('rainboots ', 1.0390824900357856)","('cake ', 1.09392737267647)","('cake ', 1.093898753773775)","('cake ', 1.093898753773775)","('dustpan ', 1.1520184740967463)","('dustpan ', 1.151055686975447)","('sippycup ', 1.269190811721198)","('sippycup ', 1.2712585608500135)","('sippycup ', 1.4225599268190465)","('sippycup ', 1.4323516279345772)","('sippycup ', 1.4323516279345772)","('dustpan ', 1.457852929606145)","('dustpan ', 1.4629641239803857)","('birdcage ', 1.7590819138565745)","('birdcage ', 1.8051413231211566)","('ovenmitt ', 2.1749341752100255)","('cheesegrater ', 2.3276883617789266)"
7,"('deskchair ', 1.0000085154874656)","('bat ', 0.9912971781852209)","('bat ', 0.9921822680576966)","('balloon ', 0.9674104462077304)","('balloon ', 0.96742303954567)","('balloon ', 0.96742303954567)","('balloon ', 0.9886613691634965)","('balloon ', 0.9886666159916863)","('cake ', 1.0137268535061061)","('cake ', 1.0137268535061061)","('cake ', 1.0137268535061061)","('dustpan ', 1.0322778069056042)","('dustpan ', 1.0325173972276716)","('nail ', 1.039588835585966)","('nail ', 1.0402535224166238)","('nail ', 1.1152233866890482)","('nail ', 1.1153688320983084)","('nail ', 1.1153688320983084)","('sippycup ', 1.1634103455955938)","('sippycup ', 1.163649775922289)","('ovenmitt ', 1.2719273018538169)","('ovenmitt ', 1.2736421349713987)","('ironing ', 1.445131704332488)","('ironing ', 1.4509031328551045)","('ironing ', 1.4509031328551045)","('dumbbell ', 1.468708883332726)","('dumbbell ', 1.4756984898031342)","('can ', 1.7599783905037023)","('ovenmitt ', 1.8062637515365694)","('cheesegrater ', 2.1959531521271507)","('ovenmitt ', 2.350751019316463)"
8,"('lamp ', 1.0000085154874656)","('dumbbell ', 0.9920837749575308)","('dumbbell ', 0.9930314122817405)","('trafficlight ', 0.9752587939490192)","('trafficlight ', 0.9752635549185551)","('trafficlight ', 0.9752635549185551)","('chopsticks ', 0.9932702903051431)","('chopsticks ', 0.9932721217805011)","('trafficlight ', 1.015209415549617)","('trafficlight ', 1.015209415549617)","('trafficlight ', 1.015209415549617)","('trafficlight ', 1.0366493903739)","('trafficlight ', 1.0365907016919562)","('broom ', 1.0408502204355727)","('broom ', 1.0408531263570173)","('bat ', 1.1291723122720212)","('bat ', 1.1298060484489314)","('bat ', 1.1298060484489314)","('kayak ', 1.1669347553939033)","('kayak ', 1.1667695510119018)","('cheesegrater ', 1.2840823343749115)","('cheesegrater ', 1.2796924272612047)","('rainboots ', 1.447979699612083)","('rainboots ', 1.4586520876843052)","('rainboots ', 1.4586520876843052)","('medal ', 1.4890288100471594)","('birdcage ', 1.49393939108587)","('ovenmitt ', 1.7696481735855483)","('medal ', 1.8075514508899104)","('medal ', 2.1974434550601143)","('train ', 2.3746729300439027)"
9,"('chair ', 1.0000085777357148)","('garbagebin ', 0.993678338480537)","('garbagebin ', 0.9940540995982945)","('bat ', 0.9752675724092632)","('stroller ', 0.9752908844921326)","('stroller ', 0.9752908844921326)","('medal ', 1.0023901189146442)","('medal ', 1.002393839887627)","('rainboots ', 1.0178666004611552)","('rainboots ', 1.0178666004611552)","('rainboots ', 1.0178666004611552)","('punchingbag ', 1.0509333376381313)","('punchingbag ', 1.0508726578168726)","('cake ', 1.051143636294854)","('cake ', 1.0511242794346685)","('ovenmitt ', 1.1310885881350177)","('ovenmitt ', 1.1311118954858643)","('ovenmitt ', 1.1311118954858643)","('footballball ', 1.1767298803733564)","('footballball ', 1.1769864903822544)","('dustpan ', 1.2851266664532452)","('toothbrush ', 1.2834076208883998)","('kayak ', 1.4586036595013472)","('kayak ', 1.4633476139813082)","('kayak ', 1.4633476139813082)","('birdcage ', 1.4929930295195941)","('medal ', 1.4959434270882361)","('medal ', 1.774752913937268)","('cheesegrater ', 1.8075750699245834)","('train ', 2.264832742157662)","('medal ', 2.414946662520703)"
