,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10,Layer11_bottom10,Layer12_bottom10,Layer13_bottom10,Layer14_bottom10,Layer15_bottom10,Layer16_bottom10,Layer17_bottom10,Layer18_bottom10,Layer19_bottom10,Layer20_bottom10,Layer21_bottom10,Layer22_bottom10,Layer23_bottom10,Layer24_bottom10,Layer25_bottom10,Layer26_bottom10,Layer27_bottom10,Layer28_bottom10,Layer29_bottom10,Layer30_bottom10,Layer31_bottom10,Layer32_bottom10,Layer33_bottom10,Layer34_bottom10,Layer35_bottom10,Layer36_bottom10,Layer37_bottom10
0,"('chesspiece (2).jpg', 0.9994479582366893)","('cake (2).jpg', 0.9758383757832679)","('cake (2).jpg', 0.9757424144278657)","('lego (2).jpg', 0.8997524798956691)","('lego (2).jpg', 0.8998324926616111)","('lego (2).jpg', 0.8998324926616111)","('dumbbell (2).jpg', 0.888534673242645)","('dumbbell (2).jpg', 0.8885460666069424)","('bat (2).jpg', 0.8057234101367468)","('bat (2).jpg', 0.805723399582992)","('bat (2).jpg', 0.805723399582992)","('toothbrush (2).jpg', 0.8844667820459843)","('toothbrush (2).jpg', 0.8844682528635434)","('toothbrush (2).jpg', 0.8673879104325752)","('toothbrush (2).jpg', 0.8673103396115112)","('toothbrush (2).jpg', 0.8908251254882523)","('toothbrush (2).jpg', 0.890808840413661)","('toothbrush (2).jpg', 0.966627382139386)","('toothbrush (2).jpg', 0.9666330731057313)","('toothbrush (2).jpg', 0.9666330731057313)","('nail (2).jpg', 1.0194689712655867)","('nail (2).jpg', 1.0197965995269869)","('laundry (2).jpg', 1.0953379843057804)","('laundry (2).jpg', 1.0956195135158222)","('nail (2).jpg', 1.2464197808446753)","('nail (2).jpg', 1.2489991330255998)","('laundry (2).jpg', 1.2331227528393556)","('nail (2).jpg', 1.2382692149908041)","('nail (2).jpg', 1.2382692149908041)","('basketballrim (2).jpg', 1.2750944262821917)","('basketballrim (2).jpg', 1.27758501661706)","('laundry (2).jpg', 1.356533825027049)","('laundry (2).jpg', 1.369039962973308)","('laundry (2).jpg', 1.4112636120591504)","('laundry (2).jpg', 1.4190761170232964)","('laundry (2).jpg', 1.7144203832646119)","('basketballrim (2).jpg', 1.8065971385906527)"
1,"('basketball (2).jpg', 0.9997396363836301)","('lego (2).jpg', 0.9762146704787059)","('lego (2).jpg', 0.9770515328924236)","('bat (2).jpg', 0.9111991422902608)","('bat (2).jpg', 0.9110408572263003)","('bat (2).jpg', 0.9110408572263003)","('bat (2).jpg', 0.8944882768787549)","('bat (2).jpg', 0.8942181986059863)","('toothbrush (2).jpg', 0.8841655312132692)","('toothbrush (2).jpg', 0.8841655145337115)","('toothbrush (2).jpg', 0.8841655145337115)","('bat (2).jpg', 0.8895573615438811)","('bat (2).jpg', 0.889572973108333)","('bat (2).jpg', 0.9845708254167871)","('bat (2).jpg', 0.9842831259574283)","('nail (2).jpg', 0.9837689712397154)","('nail (2).jpg', 0.9838226589410823)","('fishbowl (2).jpg', 1.0213169669079667)","('fishbowl (2).jpg', 1.0213253212486206)","('fishbowl (2).jpg', 1.0213253212486206)","('toothbrush (2).jpg', 1.0781081894079099)","('toothbrush (2).jpg', 1.0769839287183893)","('nail (2).jpg', 1.1057113208213147)","('nail (2).jpg', 1.1071064699330808)","('basketballrim (2).jpg', 1.2628470043379325)","('basketballrim (2).jpg', 1.2644260949377562)","('nail (2).jpg', 1.2358286314281317)","('laundry (2).jpg', 1.2396755216788504)","('laundry (2).jpg', 1.2396755216788504)","('laundry (2).jpg', 1.3005556171352333)","('laundry (2).jpg', 1.3038575417435383)","('basketballrim (2).jpg', 1.4432099680483188)","('basketballrim (2).jpg', 1.4492461987095844)","('basketballrim (2).jpg', 1.4298487225818404)","('basketballrim (2).jpg', 1.443411027255301)","('basketballrim (2).jpg', 1.752446770095)","('laundry (2).jpg', 1.8074681841932148)"
2,"('bowlingpin (2).jpg', 1.0000081872830517)","('balloon (2).jpg', 0.9846619163774701)","('balloon (2).jpg', 0.9845445611278362)","('cake (2).jpg', 0.9421942812032725)","('cake (2).jpg', 0.9422957191805852)","('cake (2).jpg', 0.9422957191805852)","('toothbrush (2).jpg', 0.9231605973747352)","('toothbrush (2).jpg', 0.9231714230585348)","('broom (2).jpg', 0.9597831862889525)","('broom (2).jpg', 0.9597831634676709)","('broom (2).jpg', 0.9597831634676709)","('nail (2).jpg', 1.0106671682170458)","('nail (2).jpg', 1.0107530375417293)","('nail (2).jpg', 0.9905281295927844)","('nail (2).jpg', 0.9905258202050112)","('bat (2).jpg', 1.002667948163088)","('bat (2).jpg', 1.0027352672100727)","('rainboots (2).jpg', 1.0303955848724726)","('rainboots (2).jpg', 1.0304108539179861)","('rainboots (2).jpg', 1.0304108539179861)","('fishbowl (2).jpg', 1.0856083409553765)","('fishbowl (2).jpg', 1.0855970819225655)","('fishbowl (2).jpg', 1.1176420759312193)","('fishbowl (2).jpg', 1.1198878110839072)","('ovenmitt (2).jpg', 1.2664935730132822)","('ovenmitt (2).jpg', 1.2672470509341003)","('chair (2).jpg', 1.3456535199494322)","('dustpan (2).jpg', 1.347668552870586)","('dustpan (2).jpg', 1.347668552870586)","('nail (2).jpg', 1.3187357016799612)","('nail (2).jpg', 1.3223530844189397)","('chair (2).jpg', 1.5417332781328876)","('chair (2).jpg', 1.5540107638385303)","('dustpan (2).jpg', 1.659900833712445)","('dustpan (2).jpg', 1.6785772182924992)","('dustpan (2).jpg', 1.8594788509517615)","('dustpan (2).jpg', 1.9457917626854135)"
3,"('tennisball (2).jpg', 1.0000081872830517)","('garbagebin (2).jpg', 0.9854624847542922)","('trafficlight (2).jpg', 0.9855587683430892)","('chopsticks (2).jpg', 0.9430787062454552)","('chopsticks (2).jpg', 0.9430727908223242)","('chopsticks (2).jpg', 0.9430727908223242)","('dustpan (2).jpg', 0.9333057623814177)","('dustpan (2).jpg', 0.9333133895395355)","('balloon (2).jpg', 0.9860313898062364)","('balloon (2).jpg', 0.9860313438445727)","('balloon (2).jpg', 0.9860313438445727)","('washer (2).jpg', 1.0151199273303897)","('washer (2).jpg', 1.015121910191589)","('fishbowl (2).jpg', 1.0010590516434188)","('fishbowl (2).jpg', 1.001053481753584)","('balloon (2).jpg', 1.045491579735378)","('balloon (2).jpg', 1.0454932749721737)","('balloon (2).jpg', 1.0685107895567505)","('balloon (2).jpg', 1.0685169410010456)","('balloon (2).jpg', 1.0685169410010456)","('laundry (2).jpg', 1.1204024958437984)","('laundry (2).jpg', 1.1205307709351524)","('cake (2).jpg', 1.200934651979399)","('toothbrush (2).jpg', 1.1992016252322821)","('laundry (2).jpg', 1.2849426810567763)","('laundry (2).jpg', 1.286485928175598)","('dustpan (2).jpg', 1.3477251826513532)","('chair (2).jpg', 1.3507755652639981)","('chair (2).jpg', 1.3507755652639981)","('ironing (2).jpg', 1.4441541349675788)","('ironing (2).jpg', 1.4457589059383245)","('dumbbell (2).jpg', 1.5665949721074839)","('dumbbell (2).jpg', 1.5807404077560374)","('chair (2).jpg', 1.7315056621476494)","('chair (2).jpg', 1.7553962935438856)","('cheesegrater (2).jpg', 2.1431562515768015)","('cheesegrater (2).jpg', 2.19420610954395)"
4,"('helmet (2).jpg', 1.0000081872830517)","('trafficlight (2).jpg', 0.9858203457724315)","('garbagebin (2).jpg', 0.985896181611792)","('toothbrush (2).jpg', 0.943546528912945)","('toothbrush (2).jpg', 0.9436006916857674)","('toothbrush (2).jpg', 0.9436006916857674)","('ovenmitt (2).jpg', 0.9546061392089172)","('ovenmitt (2).jpg', 0.9546047520031007)","('dustpan (2).jpg', 1.0010079834776395)","('dustpan (2).jpg', 1.0010079859069794)","('dustpan (2).jpg', 1.0010079859069794)","('rainboots (2).jpg', 1.0255410803662695)","('rainboots (2).jpg', 1.02554098403735)","('balloon (2).jpg', 1.027436630945256)","('balloon (2).jpg', 1.0274445639005718)","('cheesegrater (2).jpg', 1.0528955473687551)","('cheesegrater (2).jpg', 1.0527548825169144)","('nail (2).jpg', 1.0792487953785155)","('nail (2).jpg', 1.0797679353302434)","('nail (2).jpg', 1.0797679353302434)","('rainboots (2).jpg', 1.1332653966624069)","('rainboots (2).jpg', 1.1334619843205287)","('medal (2).jpg', 1.2017261625271534)","('cake (2).jpg', 1.2021392381963865)","('medal (2).jpg', 1.2939768718744147)","('medal (2).jpg', 1.2955789921545648)","('basketballrim (2).jpg', 1.3510681429121416)","('basketballrim (2).jpg', 1.3529705569695458)","('basketballrim (2).jpg', 1.3529705569695458)","('dumbbell (2).jpg', 1.4510197330970012)","('dumbbell (2).jpg', 1.4542462567423398)","('dustpan (2).jpg', 1.5872347165386957)","('dustpan (2).jpg', 1.6008133194447078)","('cheesegrater (2).jpg', 1.7861799060929509)","('cheesegrater (2).jpg', 1.8094959677698739)","('can (2).jpg', 2.1842996338112624)","('can (2).jpg', 2.285917840244321)"
5,"('beachpail (2).jpg', 1.0000081872830517)","('stroller (2).jpg', 0.988597094871345)","('broom (2).jpg', 0.9884623585709674)","('broom (2).jpg', 0.9514171886474115)","('broom (2).jpg', 0.9514643967128481)","('broom (2).jpg', 0.9514643967128481)","('bowlingball (2).jpg', 0.9815988101776756)","('bowlingball (2).jpg', 0.9816079901782764)","('rainboots (2).jpg', 1.0045297358968692)","('rainboots (2).jpg', 1.0045296802805674)","('rainboots (2).jpg', 1.0045296802805674)","('computer (2).jpg', 1.028210605231449)","('computer (2).jpg', 1.0282123034472632)","('rainboots (2).jpg', 1.0333384809995434)","('rainboots (2).jpg', 1.0333446625023974)","('fishbowl (2).jpg', 1.0599586223237019)","('fishbowl (2).jpg', 1.0599549650823976)","('bat (2).jpg', 1.0797235844059256)","('bat (2).jpg', 1.0802055182045673)","('bat (2).jpg', 1.0802055182045673)","('dustpan (2).jpg', 1.1571840568869685)","('dustpan (2).jpg', 1.1566736214520854)","('toothbrush (2).jpg', 1.2081792556826887)","('medal (2).jpg', 1.202611918188724)","('dumbbell (2).jpg', 1.3024026721583364)","('dumbbell (2).jpg', 1.30418233459614)","('ovenmitt (2).jpg', 1.3748095676549545)","('ovenmitt (2).jpg', 1.3781598714649148)","('ovenmitt (2).jpg', 1.3781598714649148)","('birdcage (2).jpg', 1.4766374881598305)","('birdcage (2).jpg', 1.4759643123397614)","('can (2).jpg', 1.6379518988422144)","('can (2).jpg', 1.6544136494713513)","('dumbbell (2).jpg', 1.7970526897651204)","('pokerchips (2).jpg', 1.8198054779155617)","('dumbbell (2).jpg', 2.189565047222545)","('dumbbell (2).jpg', 2.3164863579734862)"
6,"('bat (2).jpg', 1.0000081872830517)","('broom (2).jpg', 0.9886588757687361)","('stroller (2).jpg', 0.9887087447266957)","('rainboots (2).jpg', 0.9553519141329903)","('rainboots (2).jpg', 0.9554279192383359)","('rainboots (2).jpg', 0.9554279192383359)","('lego (2).jpg', 0.989388150068904)","('lego (2).jpg', 0.9893973678233231)","('washer (2).jpg', 1.0252065244087687)","('washer (2).jpg', 1.0252065269232267)","('washer (2).jpg', 1.0252065269232267)","('broom (2).jpg', 1.0335601347796946)","('broom (2).jpg', 1.0335623503976787)","('broom (2).jpg', 1.0512294711387402)","('broom (2).jpg', 1.0512411650057936)","('broom (2).jpg', 1.0623189122054648)","('broom (2).jpg', 1.0623247091666765)","('laundry (2).jpg', 1.0841765291569025)","('laundry (2).jpg', 1.084190610109362)","('laundry (2).jpg', 1.084190610109362)","('sippycup (2).jpg', 1.1660722419844487)","('sippycup (2).jpg', 1.1658855999129303)","('dustpan (2).jpg', 1.2108550042762858)","('dustpan (2).jpg', 1.2083465839618999)","('chair (2).jpg', 1.3210931604585185)","('chair (2).jpg', 1.323327468209158)","('ironing (2).jpg', 1.3821002997167458)","('ironing (2).jpg', 1.3841239362666908)","('ironing (2).jpg', 1.3841239362666908)","('boxing_gloves (2).jpg', 1.4831015030648949)","('boxing_gloves (2).jpg', 1.4854598067990792)","('pokerchips (2).jpg', 1.667138130897913)","('pokerchips (2).jpg', 1.6774935488484195)","('pokerchips (2).jpg', 1.8108669502728982)","('dumbbell (2).jpg', 1.8209141283836576)","('medal (2).jpg', 2.196969812585902)","('golfclubs (2).jpg', 2.332422650541598)"
7,"('deskchair (2).jpg', 1.0000085154874656)","('toothbrush (2).jpg', 0.9899104276318255)","('toothbrush (2).jpg', 0.9900830331170104)","('bowlingball (2).jpg', 0.9556376511304822)","('bowlingball (2).jpg', 0.9556994101806129)","('bowlingball (2).jpg', 0.9556994101806129)","('cake (2).jpg', 0.9895608021734528)","('cake (2).jpg', 0.9895651173413881)","('lego (2).jpg', 1.0252280901514907)","('lego (2).jpg', 1.0252280533841789)","('lego (2).jpg', 1.0252280533841789)","('balloon (2).jpg', 1.034581815251495)","('balloon (2).jpg', 1.034583873952046)","('tub (2).jpg', 1.0666703055745406)","('tub (2).jpg', 1.0666706556134642)","('washer (2).jpg', 1.0703188493089246)","('washer (2).jpg', 1.0703244528094926)","('sushi (2).jpg', 1.0863966257340256)","('sushi (2).jpg', 1.0864132638729402)","('sushi (2).jpg', 1.0864132638729402)","('cheesegrater (2).jpg', 1.1705577211898126)","('cheesegrater (2).jpg', 1.170502568948692)","('ovenmitt (2).jpg', 1.2331304943413897)","('ovenmitt (2).jpg', 1.2345491322700006)","('fishbowl (2).jpg', 1.3216352901679542)","('fishbowl (2).jpg', 1.3243706246225226)","('hairdryer (2).jpg', 1.3829328308129945)","('hairdryer (2).jpg', 1.3877343522219585)","('hairdryer (2).jpg', 1.3877343522219585)","('dustpan (2).jpg', 1.4874229102747458)","('dustpan (2).jpg', 1.48943623718371)","('ironing (2).jpg', 1.6718186145728389)","('ironing (2).jpg', 1.6865732060221603)","('highchair (2).jpg', 1.8333930346745235)","('can (2).jpg', 1.8616508253480448)","('chair (2).jpg', 2.2115253349187745)","('chair (2).jpg', 2.3428974381786642)"
8,"('lamp (2).jpg', 1.0000085154874656)","('pokerchips (2).jpg', 0.992907399088181)","('pokerchips (2).jpg', 0.9927439894282903)","('dumbbell (2).jpg', 0.956675635706268)","('dumbbell (2).jpg', 0.9566949698479802)","('dumbbell (2).jpg', 0.9566949698479802)","('fish (2).jpg', 0.9976586415014546)","('fish (2).jpg', 0.9976643847214165)","('trafficlight (2).jpg', 1.028955203806051)","('trafficlight (2).jpg', 1.0289551535740504)","('trafficlight (2).jpg', 1.0289551535740504)","('punchingbag (2).jpg', 1.046843298086658)","('punchingbag (2).jpg', 1.0468456345807309)","('cake (2).jpg', 1.0688027354251897)","('cake (2).jpg', 1.0688036121386655)","('cake (2).jpg', 1.0747509093180125)","('cake (2).jpg', 1.0747489776813854)","('cake (2).jpg', 1.0870172977744317)","('cake (2).jpg', 1.0870364628013767)","('cake (2).jpg', 1.0870364628013767)","('ovenmitt (2).jpg', 1.1795499737464679)","('ovenmitt (2).jpg', 1.1798212885994317)","('kayak (2).jpg', 1.2419141815008685)","('kayak (2).jpg', 1.243488269746934)","('cheesegrater (2).jpg', 1.3270492714610487)","('cheesegrater (2).jpg', 1.325292807477323)","('birdcage (2).jpg', 1.3875074723361678)","('birdcage (2).jpg', 1.3928420331607252)","('birdcage (2).jpg', 1.3928420331607252)","('chair (2).jpg', 1.492654110267026)","('chair (2).jpg', 1.4969327338068918)","('cheesegrater (2).jpg', 1.6773577855801465)","('cheesegrater (2).jpg', 1.6930555053637248)","('can (2).jpg', 1.8348058584557474)","('highchair (2).jpg', 1.86357960290838)","('golfclubs (2).jpg', 2.261300541562611)","('medal (2).jpg', 2.343494110839559)"
9,"('chair (2).jpg', 1.0000085777357148)","('dustpan (2).jpg', 0.9932570657995334)","('rainboots (2).jpg', 0.9932390691090387)","('trafficlight (2).jpg', 0.9660501442718805)","('trafficlight (2).jpg', 0.9661065660430834)","('trafficlight (2).jpg', 0.9661065660430834)","('balloon (2).jpg', 0.9979939703636569)","('balloon (2).jpg', 0.9979977525608537)","('cake (2).jpg', 1.0507708522397998)","('cake (2).jpg', 1.050770801916128)","('cake (2).jpg', 1.050770801916128)","('fishbowl (2).jpg', 1.0498715012016662)","('fishbowl (2).jpg', 1.0498723460993296)","('pokerchips (2).jpg', 1.072442962256044)","('pokerchips (2).jpg', 1.0724519955550873)","('tub (2).jpg', 1.0776041896200557)","('tub (2).jpg', 1.077607097440873)","('birdcage (2).jpg', 1.0998647084226703)","('birdcage (2).jpg', 1.0998848850966867)","('birdcage (2).jpg', 1.0998848850966867)","('anchor2.jpg', 1.180587721125729)","('anchor2.jpg', 1.1808124294756093)","('rainboots (2).jpg', 1.2422759221375614)","('rainboots (2).jpg', 1.2440877855309846)","('can (2).jpg', 1.3287905072398627)","('can (2).jpg', 1.3286963798558753)","('can (2).jpg', 1.3929091982067021)","('can (2).jpg', 1.396421411252523)","('can (2).jpg', 1.396421411252523)","('medal (2).jpg', 1.505476989692514)","('medal (2).jpg', 1.5085417023367707)","('birdcage (2).jpg', 1.6967546402563802)","('birdcage (2).jpg', 1.7173838884784633)","('golfclubs (2).jpg', 1.852457808525023)","('golfclubs (2).jpg', 1.8807459214604285)","('rainboots (2).jpg', 2.2614483555969564)","('backyard_grill (2).jpg', 2.354631658962833)"
