,Network Name,Layer Number,Context Ratio,pCon1,pConRel,Context Error Bars,Category Ratio,pCat1,pCatRel,Category Error Bars,pConVCat
0,AlexNet,0,0.9999999466420779,0.9959927171981559,0.9965602533069138,1.0511288566673938e-05,1.000003299419731,0.696917863332359,0.6956081392228227,8.424142791519722e-06,0.9980083830356886
1,AlexNet,1,1.1145632862695665,0.00025624566434182824,1.2027946470921558e-05,0.02952765818406358,1.3282154186453075,3.4407987567770514e-25,3.87628937592134e-36,0.02569490687121862,2.1975653473773444e-06
2,AlexNet,2,1.1153387355598257,0.0003797334521293741,1.633700294048423e-05,0.030665579532774982,1.3327383004100042,5.269675983452012e-25,3.3782627784087615e-36,0.02619618795545957,2.288755362417603e-06
3,AlexNet,3,1.1153387355598257,0.0003797334521293741,1.633700294048423e-05,0.030665579532774982,1.3327383004100042,5.269675983452012e-25,3.3782627784087615e-36,0.02619618795545957,2.288755362417603e-06
4,AlexNet,4,1.1033817066364984,0.000290988046026507,3.301294883875822e-05,0.0269102580532338,1.505469804849466,1.0671254687577502e-43,3.501216368545013e-51,0.024804534814383283,6.419437169977152e-14
5,AlexNet,5,1.1025096833978285,0.0004991826817743717,4.9077121923127984e-05,0.027875563167406525,1.5145219466684015,2.880317535195267e-43,4.3937398456634583e-51,0.025488482105220072,6.964496674711763e-14
6,AlexNet,6,1.1025096833978285,0.0004991826817743717,4.9077121923127984e-05,0.027875563167406525,1.5145219466684015,2.880317535195267e-43,4.3937398456634583e-51,0.025488482105220072,6.964496674711763e-14
7,AlexNet,7,1.1044353918936014,0.0004212116162020606,7.113499672165249e-05,0.028002138395577622,1.6543344165243528,1.144086798078804e-51,8.167782239283924e-60,0.02715632444755576,5.825000262963411e-17
8,AlexNet,8,1.1069506687346597,0.0004454947184326128,7.120205944952897e-05,0.028809140691352347,1.677546672042649,1.3421639018829794e-51,2.685733466968226e-59,0.028159288615774984,5.1613675727216294e-17
9,AlexNet,9,1.1665719814855555,0.00022416086748143932,1.9481688584902194e-05,0.04249530805863087,2.082595838025598,4.106385206997252e-46,1.1062170971203923e-63,0.0504274950776381,8.838535172070098e-15
10,AlexNet,10,1.1678330241290278,0.0003084078778694581,2.5206110756713543e-05,0.04388698323241323,2.120108873565787,1.6276850468215672e-46,1.2786697212781128e-63,0.05173068182812453,6.550894121734249e-15
11,AlexNet,11,1.2096557975844617,0.0003522060619409292,2.9607615670016433e-05,0.055405198163293305,2.3785356719775432,1.8034627227968814e-47,2.4208739240418387e-70,0.06239306729003847,5.351014021506144e-16
12,AlexNet,12,1.223277019309185,0.0003609747477161794,3.5019233363283366e-05,0.059121458823651864,2.534323764573538,4.775977426267102e-47,4.8793086192316854e-70,0.07006602763243208,8.496922508931601e-16
