,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10,Layer11_bottom10,Layer12_bottom10,Layer13_bottom10,Layer14_bottom10,Layer15_bottom10,Layer16_bottom10,Layer17_bottom10,Layer18_bottom10
0,"('golfcart', 0.9238028211591707)","('golfcart', 0.9238028211591707)","('golfcart', 0.9106514215558168)","('sushi', 0.7930054193195547)","('sushi', 0.7930054193195547)","('chicken', 0.8051135110340457)","('bag', 0.7991394958699293)","('bag', 0.7991394958699293)","('bag', 0.7219268578094703)","('bag', 0.8665776418719551)","('burger', 0.8816486684354694)","('bag', 0.7966474652742798)","('seashell', 0.7660163980219206)","('seashell', 0.7660163980219206)","('chicken', 0.8717549818670923)","('racket', 0.6999065432226099)","('coffeetable', 0.9763960828243412)","('ovenmitt', 0.28373807029284415)"
1,"('garbagebag', 0.9241460703668556)","('garbagebag', 0.9241460703668556)","('garbagebag', 0.9380443976160692)","('chicken', 0.8472113973242589)","('chicken', 0.8472113973242589)","('bag', 0.8901017604603499)","('burger', 0.8729675278298388)","('burger', 0.8729675278298388)","('burger', 0.8162460939663259)","('excersiceequipment', 0.8892101549055752)","('excersiceequipment', 0.8960793991059611)","('burger', 0.8226862788770187)","('chicken', 0.8069219656556142)","('chicken', 0.8069219656556142)","('seashell', 0.8750356131322273)","('kayak', 0.7859573866570275)","('nail', 0.978280524268436)","('beachball', 0.30962728940731576)"
2,"('bat', 0.931758069208945)","('bat', 0.931758069208945)","('chicken', 0.9389668979761016)","('golfcart', 0.8735757621723659)","('golfcart', 0.8735757621723659)","('nail', 0.9006928366202496)","('nail', 0.8832293392744334)","('nail', 0.8832293392744334)","('golfcart', 0.8187776804440866)","('nail', 0.8907238474975957)","('nail', 0.9176025822393488)","('cheese', 0.8619482042026634)","('golfcart', 0.8371559260339898)","('golfcart', 0.8371559260339898)","('kayak', 0.8807901493756909)","('sushi', 0.7862792446037393)","('garbagebag', 0.9806649603079484)","('cheese', 0.47793476250947436)"
3,"('bowlingball', 0.9405577568581218)","('bowlingball', 0.9405577568581218)","('bag', 0.9476180565263274)","('sleepingbag', 0.9098955696172224)","('sleepingbag', 0.9098955696172224)","('sleepingbag', 0.9012302917179368)","('chicken', 0.910930670104723)","('chicken', 0.910930670104723)","('kayak', 0.8240406867749709)","('highchair', 0.9046597493620371)","('seashell', 0.9295057526180596)","('seashell', 0.8702562152897936)","('kayak', 0.8454537147739016)","('kayak', 0.8454537147739016)","('burger', 0.8969106178477654)","('chicken', 0.8168922599979617)","('tractor', 0.9837203353129166)","('doll', 0.5137246794673794)"
4,"('mailbox', 0.9498734047168005)","('mailbox', 0.9498734047168005)","('bowlingball', 0.9498328588411882)","('bat', 0.9197672599752346)","('bat', 0.9197672599752346)","('golfcart', 0.911867668045126)","('cheese', 0.9231016196832725)","('cheese', 0.9231016196832725)","('seashell', 0.8315534444485164)","('burger', 0.9059488305853246)","('golfcart', 0.9337746674743682)","('nail', 0.8727017781671945)","('bag', 0.8456654514827773)","('bag', 0.8456654514827773)","('fridge', 0.8974473778863696)","('fridge', 0.817771177586111)","('beachball', 0.9863515826260301)","('mailbox', 0.6060643410045773)"
5,"('sushi', 0.9569129519136184)","('sushi', 0.9569129519136184)","('racket', 0.9514165020159139)","('nail', 0.922679970141421)","('nail', 0.922679970141421)","('highchair', 0.9145069963027718)","('golfcart', 0.9240280031980362)","('golfcart', 0.9240280031980362)","('sleepingbag', 0.8365010140431646)","('seashell', 0.9379035217940904)","('highchair', 0.9359145055871855)","('golfcart', 0.9008642127662075)","('burger', 0.8613207181355492)","('burger', 0.8613207181355492)","('golfcart', 0.9046311135398039)","('burger', 0.8250425468367867)","('bag', 0.9883399601218215)","('burger', 0.6502551777773724)"
6,"('board', 0.9603224963320192)","('board', 0.9603224963320192)","('bat', 0.9617990759230358)","('mailbox', 0.9284494631003337)","('mailbox', 0.9284494631003337)","('burger', 0.9164655599083956)","('medal', 0.9271864195133412)","('medal', 0.9271864195133412)","('backhoe', 0.8373823543880102)","('sushi', 0.9501235051440724)","('bag', 0.9360522985713489)","('mailbox', 0.9046748685039792)","('fridge', 0.8788129265874403)","('fridge', 0.8788129265874403)","('cheese', 0.9208414822012136)","('boxing_gloves', 0.8255730271426922)","('medal', 0.9887006539687399)","('chicken', 0.6816720400865636)"
7,"('chicken', 0.9673576507572792)","('chicken', 0.9673576507572792)","('sushi', 0.966463364203155)","('bag', 0.9315662971313727)","('bag', 0.9315662971313727)","('pokerchips', 0.9204074327126386)","('sushi', 0.9300834691470086)","('sushi', 0.9300834691470086)","('excersiceequipment', 0.8520148136555697)","('medal', 0.9517124718095432)","('mailbox', 0.9438211848309648)","('excersiceequipment', 0.9079275182371255)","('cheese', 0.8818116085079503)","('cheese', 0.8818116085079503)","('horse', 0.9355324551369599)","('golfcart', 0.8569285326332631)","('footballball', 0.989011809629846)","('highchair', 0.7100714069334633)"
8,"('backhoe', 0.9769866574866587)","('backhoe', 0.9769866574866587)","('tractor', 0.9673081054399849)","('carpet', 0.9446206069872051)","('carpet', 0.9446206069872051)","('bat', 0.9259962455122501)","('mailbox', 0.940584058354973)","('mailbox', 0.940584058354973)","('medal', 0.8781016814628072)","('backhoe', 0.95874461172043)","('fridge', 0.9543883465926774)","('backhoe', 0.9241106791967624)","('carpet', 0.9233645362243043)","('carpet', 0.9233645362243043)","('coat', 0.9528627544358033)","('toothbrush', 0.8639550284815454)","('doll', 0.9890822223548202)","('pizza', 0.7151986465399931)"
9,"('sleepingbag', 0.9777942309201916)","('sleepingbag', 0.9777942309201916)","('sleepingbag', 0.9690646147445787)","('garbagebag', 0.9552783617312188)","('garbagebag', 0.9552783617312188)","('kayak', 0.9399053508579261)","('dishrack', 0.952711896381627)","('dishrack', 0.952711896381627)","('nail', 0.878921088717096)","('bat', 0.9620139074823305)","('cheese', 0.9549600899250377)","('fridge', 0.9401007921010008)","('mailbox', 0.9293591705352997)","('mailbox', 0.9293591705352997)","('chair', 0.9598843681407793)","('horse', 0.877558928565775)","('beachumbrella', 0.9904080740596838)","('bag', 0.7424955038683252)"
