,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10
0,"('bike', 1.0799765547606588)","('toothbrush', 1.1292218959636486)","('toothbrush', 1.1295713369581606)","('toothbrush', 1.1295713369581606)","('toothbrush', 1.1500498341531311)","('board', 1.153884181819371)","('footballball', 1.172269775650598)","('chicken', 1.0488383420762362)","('rearview_mirror', 1.0042676175628211)"
1,"('rearview_mirror', 1.0749824311309637)","('bike', 1.115355588698505)","('bike', 1.1150678328473502)","('bike', 1.1150678328473502)","('cheese', 1.1045233391167808)","('tub', 1.1358881674058678)","('chicken', 1.1549129001842846)","('tractor', 1.0287418856102726)","('fridge', 1.0024562277375617)"
2,"('bag', 1.0739734874614295)","('cheese', 1.1090226592780759)","('cheese', 1.1090240467991952)","('cheese', 1.1090240467991952)","('scissors', 1.1011501616379953)","('toothbrush', 1.1213486709258083)","('scissors', 1.1363869961379591)","('chair', 1.0228287772581799)","('coffeemaker', 1.0022116745425502)"
3,"('cheese', 1.0730864185930766)","('bathrobe', 1.0917336764891095)","('bathrobe', 1.091514733025692)","('bathrobe', 1.091514733025692)","('board', 1.100655419340985)","('scissors', 1.109985062239023)","('lego', 1.1335064466826643)","('boxing_gloves', 1.022417670902783)","('computer', 1.0021309680781756)"
4,"('medal', 1.062433476263212)","('maplesyrup', 1.089083183775838)","('maplesyrup', 1.0894373883381594)","('maplesyrup', 1.0894373883381594)","('computer', 1.079966808371933)","('toiletseat', 1.1090070682571944)","('rearview_mirror', 1.1205274643643277)","('horse', 1.01911427326531)","('medal', 1.0018467836751772)"
5,"('dishrack', 1.0571116950327586)","('ovenmitt', 1.0868611311226344)","('ovenmitt', 1.0882221949050073)","('ovenmitt', 1.0882221949050073)","('maplesyrup', 1.0767441581441854)","('coat', 1.103332894641819)","('tub', 1.1151789676605475)","('backhoe', 1.0175750482852988)","('seashell', 1.0016355238763952)"
6,"('coffeetable', 1.0570651721927196)","('coat', 1.079094879357635)","('coat', 1.0792153256098966)","('coat', 1.0792153256098966)","('bathrobe', 1.0751995142899062)","('maplesyrup', 1.1023938826683262)","('coffeemaker', 1.1118206547593636)","('beachball', 1.0158456544581809)","('lego', 1.0013698152287442)"
7,"('maplesyrup', 1.0549825738984306)","('pizza', 1.0744701051268957)","('pizza', 1.0744647999307977)","('pizza', 1.0744647999307977)","('fridge', 1.073729048275522)","('coffeetable', 1.08490354554986)","('ovenmitt', 1.0917455783454504)","('seashell', 1.0134176850705763)","('bat', 1.001343957310182)"
8,"('coat', 1.0549060012487967)","('tub', 1.0737182825060558)","('tub', 1.0737309276100342)","('tub', 1.0737309276100342)","('toiletseat', 1.0731099106784747)","('cheese', 1.0669246412952882)","('bowlingball', 1.0870562641484718)","('fridge', 1.0133782296855558)","('dishrack', 1.0013038922138817)"
9,"('mailbox', 1.0487229648568117)","('computer', 1.063546845352516)","('computer', 1.0624133628796573)","('computer', 1.0624133628796573)","('pizza', 1.0679244561793018)","('rearview_mirror', 1.065946438944226)","('toiletseat', 1.0784671335882883)","('bike', 1.0122175139091065)","('nail', 1.0012440079195466)"
