,Vgg16
0,"(0.9414185682934124, 0.0032949157420859147)"
1,"(0.9420064952315756, 0.0032092083654932245)"
2,"(0.794208588067697, 0.009274437963313299)"
3,"(0.7942091077264756, 0.00927446273182751)"
4,"(0.7942091077264756, 0.00927446273182751)"
5,"(0.6695486727105469, 0.00980731790891522)"
6,"(0.6695486727105469, 0.00980731790891522)"
7,"(0.5310075867826133, 0.014294929618404546)"
8,"(0.5310075867826133, 0.014294929618404546)"
9,"(0.5310075867826133, 0.014294929618404546)"
10,"(0.5639505621596023, 0.010952155749538188)"
11,"(0.5639971158641184, 0.010944089185886852)"
12,"(0.497483088698462, 0.011696744419415527)"
13,"(0.4974968482360662, 0.011693041413733958)"
14,"(0.3816991118370624, 0.013622342495581004)"
15,"(0.3816983665667564, 0.013621124624077998)"
16,"(0.3816983665667564, 0.013621124624077998)"
17,"(0.3568261418399538, 0.012301480872406463)"
18,"(0.35664525439470696, 0.0122972921135266)"
19,"(0.2738118379983544, 0.014159245734592511)"
20,"(0.27301973276501224, 0.014138123156212662)"
21,"(0.17958825714497603, 0.014524262230218472)"
22,"(0.1770046338694165, 0.01444148104659048)"
23,"(0.1770046338694165, 0.01444148104659048)"
24,"(0.21269388203790618, 0.01592075756730591)"
25,"(0.20943645733544186, 0.015734433909457276)"
26,"(0.13366729649943046, 0.014797132412850918)"
27,"(0.12441868874176455, 0.014416425242060802)"
28,"(0.10849288190850462, 0.013996005802070985)"
29,"(0.08573464503101076, 0.013405251635120942)"
30,"(0.08573464503101076, 0.013405251635120942)"
