,Vgg19
0,"(0.9330532230015502, 0.015383814922786601)"
1,"(0.9335032717312777, 0.015054605469622671)"
2,"(0.7936134139466098, 0.05105256885665948)"
3,"(0.7935747807341751, 0.05101412404526274)"
4,"(0.7935747807341751, 0.05101412404526274)"
5,"(0.6423144913801634, 0.05245712657932108)"
6,"(0.6422925184854417, 0.052472743776697466)"
7,"(0.4411082472100429, 0.07014843902036841)"
8,"(0.4411082777709397, 0.07014836315038968)"
9,"(0.4411082777709397, 0.07014836315038968)"
10,"(0.5399960729125997, 0.05051503984161983)"
11,"(0.5399984683300767, 0.050515752955483655)"
12,"(0.5245519778589285, 0.055643775665265634)"
13,"(0.5245490898569519, 0.055652438303463295)"
14,"(0.4756868485702008, 0.04509126056102891)"
15,"(0.47568447913375544, 0.045094140936659394)"
16,"(0.4012378851849219, 0.047420290416992354)"
17,"(0.4012349176178729, 0.047430894641448014)"
18,"(0.4012349176178729, 0.047430894641448014)"
19,"(0.35848174362627055, 0.054261445775387634)"
20,"(0.3584487567848085, 0.054283478022427396)"
21,"(0.29772952018124377, 0.06369990348082964)"
22,"(0.2972146466263444, 0.06355902665153093)"
23,"(0.22261347336152582, 0.06602637924592919)"
24,"(0.22172993106137426, 0.0656854898853898)"
25,"(0.1581733234017865, 0.0713633755482385)"
26,"(0.15616651645347845, 0.0705216138174554)"
27,"(0.15616651645347845, 0.0705216138174554)"
28,"(0.1772555664543245, 0.07498033129774619)"
29,"(0.17547366724840502, 0.07449118050421209)"
30,"(0.12393931788623994, 0.06991544197671365)"
31,"(0.11839295272362077, 0.06835089736610415)"
32,"(0.07259686789169306, 0.055847997245991286)"
33,"(0.06848438664553823, 0.05438007238742057)"
34,"(0.04100924072070603, 0.05409682961243628)"
35,"(0.026886981263637793, 0.049357316948521385)"
36,"(0.026886981263637793, 0.049357316948521385)"
