,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10,Layer11_top10,Layer12_top10,Layer13_top10,Layer14_top10,Layer15_top10,Layer16_top10,Layer17_top10,Layer18_top10,Layer19_top10,Layer20_top10,Layer21_top10,Layer22_top10,Layer23_top10,Layer24_top10,Layer25_top10,Layer26_top10,Layer27_top10,Layer28_top10,Layer29_top10,Layer30_top10,Layer31_top10
0,"('fries', 1.0312260412297845)","('fries', 1.0309005303053673)","('cow', 1.089381990960594)","('cow', 1.089381990960594)","('cow', 1.089381990960594)","('rolette', 1.240227112637872)","('rolette', 1.240227112637872)","('paper', 1.4129527594246225)","('paper', 1.4129527594246225)","('paper', 1.4129527594246225)","('steering_wheel', 1.3054422489133515)","('steering_wheel', 1.3055645678215662)","('slippers', 1.267220196110122)","('slippers', 1.267220196110122)","('steering_wheel', 1.555816988784521)","('steering_wheel', 1.555816988784521)","('steering_wheel', 1.555816988784521)","('steering_wheel', 1.5468765457925913)","('steering_wheel', 1.5468284004946982)","('steering_wheel', 2.0304325896883326)","('steering_wheel', 2.0323460246791534)","('cow', 8.782510897408216)","('cow', 8.784714681631653)","('cow', 8.784714681631653)","('cow', 18.05207576658009)","('cow', 17.134878377508674)","('slippers', 49.8304436692468)","('pants', 5.907197854729959)","('slippers', 12.854277396183084)","('steering_wheel', 21.879180420939065)","('steering_wheel', 21.879180420939065)"
1,"('pot', 1.023727414171855)","('pot', 1.0236118065093591)","('coatrack', 1.076990300150825)","('coatrack', 1.076990300150825)","('coatrack', 1.076990300150825)","('paper', 1.190529355853797)","('paper', 1.190529355853797)","('rolette', 1.3631832128972503)","('rolette', 1.3631832128972503)","('rolette', 1.3631832128972503)","('rolette', 1.186345613068812)","('rolette', 1.186345613068812)","('steering_wheel', 1.2612459346023666)","('steering_wheel', 1.2612459346023666)","('paper', 1.5529274873393257)","('paper', 1.5529215026352017)","('paper', 1.5529215026352017)","('paper', 1.5006762213250489)","('paper', 1.4999168114086)","('cow', 1.6852455733941412)","('cow', 1.6856892251152147)","('slippers', 3.4167583786555302)","('slippers', 3.4345271495246137)","('slippers', 3.4345271495246137)","('steering_wheel', 2.959542552105563)","('steering_wheel', 3.0286072254475056)","('steering_wheel', 4.742419373330222)","('steering_wheel', 5.669063671704267)","('steering_wheel', 7.525746690081097)","('dumbbell', 9.448829713051541)","('dumbbell', 9.448829713051541)"
2,"('cow', 1.022252041929471)","('cow', 1.0221512436495426)","('steering_wheel', 1.0726686183884435)","('steering_wheel', 1.0726686183884435)","('steering_wheel', 1.0726686183884435)","('steering_wheel', 1.1718802830051063)","('steering_wheel', 1.1718802830051063)","('slippers', 1.3564681196204456)","('slippers', 1.3564681196204456)","('slippers', 1.3564681196204456)","('starfish', 1.1858913940793818)","('starfish', 1.1858913940793818)","('paper', 1.2107942271206154)","('paper', 1.2107942271206154)","('slippers', 1.518240534813014)","('slippers', 1.5182476023109153)","('slippers', 1.5182476023109153)","('slippers', 1.3927428414552456)","('slippers', 1.391894224007677)","('paper', 1.6420393043697916)","('paper', 1.6400572101281647)","('steering_wheel', 3.083817813706126)","('steering_wheel', 3.143221256007113)","('steering_wheel', 3.143221256007113)","('paper', 2.256699898492909)","('baseballball', 2.3676172875649377)","('pants', 3.9221000507836172)","('paper', 3.64705567041102)","('helmet', 5.631795213347631)","('paper', 6.918281573304923)","('paper', 6.918281573304923)"
3,"('steering_wheel', 1.021754036073554)","('steering_wheel', 1.0216595349262718)","('sink', 1.0705870595972078)","('sink', 1.0705870595972078)","('sink', 1.0705870595972078)","('cow', 1.1645714622644965)","('cow', 1.1645714622644965)","('steering_wheel', 1.3171404598139114)","('steering_wheel', 1.3171404598139114)","('steering_wheel', 1.3171404598139114)","('paper', 1.1795886539810803)","('paper', 1.179054349433582)","('barbie', 1.1793388891335355)","('barbie', 1.1793388891335355)","('rolette', 1.3290652846515165)","('rolette', 1.3290652846515165)","('rolette', 1.3290652846515165)","('rolette', 1.3737602164818232)","('rolette', 1.373927250376816)","('rubberduck', 1.639902577220375)","('rubberduck', 1.6393821894189096)","('rubberduck', 2.443405162779763)","('rubberduck', 2.4489351200140494)","('rubberduck', 2.4489351200140494)","('rubberduck', 2.200239619380342)","('paper', 2.2967260118570896)","('paper', 3.395890494567708)","('barbie', 2.744439418606958)","('paper', 4.256250052755699)","('pot', 4.565582499276926)","('pot', 4.565582499276926)"
4,"('stove', 1.0205705030309187)","('stove', 1.02045425934735)","('stove', 1.0690680318870367)","('stove', 1.0690680318870367)","('stove', 1.0690680318870367)","('sink', 1.154878966530496)","('sink', 1.154878966530496)","('sink', 1.2565857106725558)","('sink', 1.2565857106725558)","('sink', 1.2565857106725558)","('slippers', 1.1650951056281362)","('slippers', 1.1648435142031135)","('rolette', 1.1780786811491488)","('rolette', 1.1780786811491488)","('cheesegrater', 1.2920334897658599)","('cheesegrater', 1.2918303199206818)","('cheesegrater', 1.2918303199206818)","('ironing', 1.2993761345994859)","('ironing', 1.298955825279751)","('slippers', 1.6146692048064306)","('slippers', 1.6146872466959734)","('paper', 2.389236344134015)","('paper', 2.41040354115965)","('paper', 2.41040354115965)","('starfish', 2.156184759854461)","('starfish', 2.2062278718973314)","('barbie', 2.575354383854716)","('cutter', 2.365495206579698)","('dumbbell', 4.041906666463874)","('pancake', 3.5328009975127643)","('pancake', 3.5328009975127643)"
5,"('parkingmeter', 1.0202030960851072)","('parkingmeter', 1.0200920465367584)","('fries', 1.0658702787992618)","('fries', 1.0658702787992618)","('fries', 1.0658702787992618)","('pot', 1.1492600167941227)","('pot', 1.1492600167941227)","('coatrack', 1.2564583217768381)","('coatrack', 1.2564583217768381)","('coatrack', 1.2564583217768381)","('coatrack', 1.14690660199824)","('coatrack', 1.14690660199824)","('ironing', 1.1632311111948377)","('ironing', 1.1632311111948377)","('ironing', 1.2740704115250407)","('ironing', 1.2740704115250407)","('ironing', 1.2740704115250407)","('rubberduck', 1.2839786502093802)","('rubberduck', 1.283872744082564)","('ironing', 1.4964496382830437)","('ironing', 1.496943012190687)","('barbie', 2.04468575252621)","('barbie', 2.0480306415785035)","('barbie', 2.0480306415785035)","('baseballball', 2.108069522195965)","('rubberduck', 2.1919891691990427)","('cutter', 2.208810421577845)","('pot', 2.1959071412767273)","('pot', 3.5075396611917964)","('ironing', 3.2202699134956605)","('ironing', 3.2202699134956605)"
6,"('helmet', 1.0200618596477713)","('helmet', 1.0199612262332773)","('stapler', 1.0639217666071326)","('stapler', 1.0639217666071326)","('stapler', 1.0639217666071326)","('slippers', 1.1244780327708872)","('slippers', 1.1244780327708872)","('cow', 1.2266189095539863)","('cow', 1.2266189095539863)","('cow', 1.2266189095539863)","('pants', 1.1365939158054954)","('pants', 1.1365939158054954)","('dumbbell', 1.1584356975984242)","('dumbbell', 1.1584356975984242)","('cutter', 1.2712257549802526)","('cutter', 1.2710768287394252)","('cutter', 1.2710768287394252)","('cow', 1.2697781911941644)","('cow', 1.2690523125529172)","('rolette', 1.4782551708469305)","('rolette', 1.4793995955461197)","('tennisball', 1.9160083075039056)","('tennisball', 1.8509532580164527)","('tennisball', 1.8509532580164527)","('pants', 2.0964998475303798)","('pants', 2.110579022575708)","('pot', 2.1564775287060556)","('ironing', 2.0975057857819386)","('pancake', 2.708221518411579)","('fries', 3.219308813280259)","('fries', 3.219308813280259)"
7,"('sink', 1.0181649279851925)","('sink', 1.018042002060077)","('pot', 1.0618905082401708)","('pot', 1.0618905082401708)","('pot', 1.0618905082401708)","('dumbbell', 1.110323517580354)","('dumbbell', 1.110323517580354)","('pot', 1.197197567266116)","('pot', 1.197197567266116)","('pot', 1.197197567266116)","('dumbbell', 1.1344623704177133)","('dumbbell', 1.134424028983902)","('fries', 1.141737493579512)","('fries', 1.141737493579512)","('pot', 1.252054300715792)","('pot', 1.252054300715792)","('pot', 1.252054300715792)","('cheesegrater', 1.2657141211642409)","('cheesegrater', 1.2666657428999322)","('cheesegrater', 1.4369680699122298)","('cheesegrater', 1.4381157196340693)","('coffeecup', 1.792629016863825)","('coffeecup', 1.815982235317393)","('coffeecup', 1.815982235317393)","('slippers', 2.048581516590538)","('slippers', 2.101523001759182)","('toothpaste', 2.0553274305282394)","('toothpaste', 2.0601431494905773)","('ironing', 2.6698297170666687)","('parkingmeter', 2.9466200089420727)","('parkingmeter', 2.9466200089420727)"
8,"('stapler', 1.0170818591723871)","('stapler', 1.0169730582089822)","('sofa', 1.0590481608293516)","('sofa', 1.0590481608293516)","('sofa', 1.0590481608293516)","('stove', 1.1037245955049977)","('stove', 1.1037245955049977)","('train', 1.1803377688617438)","('train', 1.1803377688617438)","('train', 1.1803377688617438)","('fries', 1.1156026899081044)","('fries', 1.1156026899081044)","('coatrack', 1.135596952357745)","('coatrack', 1.1354900004272468)","('pants', 1.2455602462656583)","('pants', 1.2455602462656583)","('pants', 1.2455602462656583)","('barbie', 1.2381542512601746)","('barbie', 1.2378522110900163)","('barbie', 1.411160780389865)","('barbie', 1.4103634294166318)","('ironing', 1.7704062889253007)","('ironing', 1.7760945988541366)","('ironing', 1.7760945988541366)","('pot', 1.6861659740620116)","('pot', 1.6910437620647794)","('ironing', 2.0212298395538144)","('pancake', 1.981707110110393)","('coatrack', 2.3934608695773574)","('coatrack', 2.882583695073263)","('coatrack', 2.882583695073263)"
9,"('sofa', 1.0152900215740885)","('sofa', 1.0151856653668432)","('slippers', 1.0520286662866427)","('slippers', 1.052030129408687)","('slippers', 1.052030129408687)","('sofa', 1.1021176098710876)","('sofa', 1.1021176098710876)","('dumbbell', 1.175732731411465)","('dumbbell', 1.175732731411465)","('dumbbell', 1.175732731411465)","('barbie', 1.0982015739987714)","('barbie', 1.0982015739987714)","('sink', 1.1341101414993133)","('sink', 1.1341101414993133)","('stapler', 1.2400337719065218)","('stapler', 1.2400337719065218)","('stapler', 1.2400337719065218)","('stapler', 1.2332998113357903)","('stapler', 1.2336253840136504)","('stapler', 1.371034024130863)","('stapler', 1.3728798022969246)","('rolette', 1.720902553739999)","('rolette', 1.7365727365507093)","('rolette', 1.7365727365507093)","('ironing', 1.6508896182080126)","('ironing', 1.6512649723045683)","('pancake', 1.9196158600265945)","('hammer', 1.9534583737219255)","('parkingmeter', 2.11443113003985)","('rolette', 2.1985093999957295)","('rolette', 2.1985093999957295)"
